"Name","Compare","Pos","Age","Shoots","Team","GP","G","A","PTS","PTS/GP","Season Pace","82GP Pace","GWG","PPP","PPTOI","%PP","TOI","SOG","+/-","PIM","Yrs","Sal","Caphit","AAV"
"MARCO ROSSI","","C","22","L","MIN","19","0","1","1","0.05","1","4","0","0","01:14","23.2","12:31","13","-7","8","2","$0.93M","$0.86M","$1.71M"
"LUCAS CONDOTTA","","L","26","L","MTL","1","1","0","1","1.00","1","82","0","0","00:00","0.0","11:02","5","0","0","2","$0.83M","$0.83M","$0.83M"
"JACOB LUCCHINI","","R","28","L","MIN","11","1","0","1","0.09","1","7","1","1","01:14","21.9","11:40","14","-2","0","1","$0.75M","$0.75M","$0.75M"
"NIKITA OKHOTIUK","","D","22","L","S.J","10","1","0","1","0.10","1","8","1","0","00:01","0.4","11:44","6","1","2","1","$0.75M","$0.79M","$0.91M"
"PARKER WOTHERSPOON","","D","26","L","BOS","12","0","1","1","0.08","1","7","0","0","00:00","0.0","13:20","10","5","4","1","$0.75M","$0.75M","$0.75M"
"STANISLAV SVOZIL","","D","20","L","CBJ","2","0","1","1","0.50","1","41","0","1","01:41","34.2","20:07","3","-3","2","3","0","$0.85M","$0.90M"
"TRAVIS DERMOTT","","D","26","L","ARI","11","1","0","1","0.09","1","7","0","0","00:05","1.3","13:45","7","-4","2","1","$1.75M","$1.50M","$1.50M"
"BRETT SENEY","","C","27","L","CHI","7","1","0","1","0.14","1","12","0","0","00:36","14.3","13:08","9","-2","2","1","$0.75M","$0.75M","$0.75M"
"JACOB BERNARD-DOCKER","","D","23","R","OTT","19","0","1","1","0.05","1","4","0","0","00:02","0.6","16:01","22","-1","11","2","$0.93M","$0.93M","$1.21M"
"MILOS KELEMEN","","L","24","L","ARI","14","1","0","1","0.07","1","6","0","0","00:00","0.0","07:41","12","-5","23","1","$0.81M","$0.82M","$0.82M"
"WILLIAM LOCKWOOD","","R","25","R","FLA","13","0","1","1","0.08","1","6","0","0","00:04","1.1","10:17","12","-7","0","2","$0.75M","$0.75M","$0.75M"
"JOHN LEONARD","","L","25","L","ARI","6","1","0","1","0.17","1","14","1","0","00:20","7.8","11:32","4","0","2","1","$0.75M","$0.75M","$0.75M"
"TREY FIX-WOLANSKY","","R","24","R","CBJ","9","1","0","1","0.11","1","9","0","0","01:04","22.4","12:57","19","-5","0","2","$0.75M","$0.75M","$0.75M"
"EGOR AFANASYEV","","L","22","L","NSH","17","1","0","1","0.06","1","5","0","0","00:11","3.8","10:51","21","-7","2","1","$0.75M","$0.79M","$0.90M"
"OSKAR STEEN","","R","25","R","BOS","3","1","0","1","0.33","1","27","0","0","00:00","0.0","09:09","5","0","0","1","$0.80M","$0.80M","$0.80M"
"ALEX VLASIC","","D","22","L","CHI","6","0","1","1","0.17","1","14","0","0","00:02","1.0","19:38","4","-1","0","1","$0.93M","$0.92M","$1.49M"
"TOBIAS BJORNFOT","","D","22","L","L.A","10","0","1","1","0.10","1","8","0","0","00:01","0.5","14:17","10","1","6","2","$0.83M","$0.89M","$1.05M"
"COLE MCWARD","","D","22","R","VAN","5","1","0","1","0.20","1","16","0","0","00:02","0.6","14:13","6","0","0","1","$0.95M","$0.92M","$0.95M"
"RADIM ZOHORNA","","L","27","L","PIT","10","1","0","1","0.10","1","8","0","0","00:28","8.6","08:35","9","-1","0","1","$0.75M","$0.75M","$0.75M"
