"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"74","Josh Bailey","NYI","R","64","774.18333333333","8","13","8","5","21","60.00","63","12.70","7.2","97","79","71","30","7","13","2","1","1","0","0","3","39","17","11","24","24","34","48","41.46"
"98","Ryan O'Reilly","STL, TOR","C","53","728.55","11","10","5","5","21","63.64","76","14.47","8.55","123","97","91","46","7","14","14","7","7","0","0","8","10","41","15","29","21","378","291","56.50"
"105","Evander Kane","EDM","L","41","641.93333333333","14","7","3","4","21","80.77","126","11.11","11.55","221","165","138","56","6","18","45","21","20","1","0","17","30","9","122","62","14","12","19","38.71"
"117","Tyson Barrie","EDM, NSH","D","85","1309.9833333333","8","13","8","5","21","41.18","111","7.21","5.7","213","146","53","15","4","17","28","14","14","0","0","11","38","24","50","106","71","0","0","-"
"118","Dmitry Orlov","BOS, WSH","D","66","1178.3","4","17","5","12","21","43.75","104","3.85","5.47","198","134","72","15","0","18","18","9","9","0","0","7","38","24","120","56","70","0","0","-"
"167","Mikael Granlund","NSH, PIT","C","79","1011.0166666667","6","15","8","7","21","58.33","76","7.89","7.97","143","106","87","39","4","11","16","8","8","0","0","11","20","28","72","106","47","123","147","45.56"
"184","Travis Boyd","ARI","C","82","1036.0833333333","12","9","5","4","21","53.85","67","17.91","9.19","123","99","96","56","3","14","20","10","10","0","0","13","20","28","34","88","52","385","495","43.75"
"223","Vladislav Namestnikov","T.B, WPG","C","77","824.15","7","14","5","9","21","61.76","97","7.22","11.34","156","128","110","62","9","20","29","13","12","1","0","15","10","27","106","100","35","72","116","38.30"
"244","Mike Matheson","MTL","D","48","858.26666666667","6","15","10","5","21","58.33","91","6.59","4.05","177","118","50","10","4","16","20","9","9","0","0","8","64","31","47","54","64","0","0","-"
"251","Jacob Trouba","NYR","D","82","1418.7333333333","5","16","8","8","21","31.82","169","2.96","6.72","311","216","80","16","6","37","57","21","16","5","0","16","45","29","199","78","156","0","0","-"
"255","Colton Parayko","STL","D","79","1554.75","4","17","5","12","21","42.00","117","3.42","5.03","229","163","53","9","2","14","28","14","14","0","0","7","44","55","108","114","124","0","0","-"
"269","Jake McCabe","CHI, TOR","D","76","1275.35","3","18","9","9","21","34.43","89","3.37","4.09","175","126","48","12","4","8","54","18","15","2","1","14","38","27","144","113","115","0","0","-"
"274","Jaccob Slavin","CAR","D","76","1368.75","4","17","8","9","21","35.59","115","3.48","5.27","272","177","90","14","5","27","8","4","4","0","0","6","36","66","26","117","79","0","0","-"
"279","Matthew Benning","S.J","D","77","1205.5833333333","1","20","11","9","21","45.65","52","1.92","2.49","141","80","46","7","12","8","18","9","9","0","0","18","36","12","85","122","68","0","0","-"
